	m1_multipep_001_nat	m1_nopep_001_nat	m1_onexpep_001_nat	m2_multipep_001_nat	m2_nopep_001_nat	m2_onexpep_001_nat	m3_multipep_001_nat	m3_nopep_001_nat	m3_onexpep_001_nat	m4_multipep_001_nat	m4_nopep_001_nat	m4_onexpep_001_nat	m5_multipep_001_nat
Gm22650	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22651	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22652	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22654	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22655	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22656	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm22657	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22658	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22659	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22660	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22661	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22662	0	1	1	5	3	1	1	4	5	5	1	11	7
Gm22663	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22664	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22665	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22666	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22667	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22668	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm22669	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22670	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22671	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22672	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22673	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22674	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22675	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22676	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22677	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22678	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22679	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22680	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22681	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22682	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22683	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm22684	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22685	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22686	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22687	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22689	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22690	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22692	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm22693	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22694	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22696	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22697	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22698	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22699	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22701	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22702	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22704	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22706	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22707	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22708	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22709	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22710	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22711	63	56	62	52	15	32	47	57	31	75	48	27	71
Gm22713	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22714	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22715	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22716	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22717	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22718	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2272	0	0	0	2	0	0	0	0	0	2	2	1	1
Gm22720	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22721	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22722	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22723	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22724	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22725	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22726	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22727	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22728	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22729	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22730	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22731	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22732	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22733	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22738	1	5	12	28	22	11	0	12	15	21	21	10	10
Gm22739	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2274	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22740	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22741	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22743	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22744	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22745	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22746	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22747	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22748	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22749	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22750	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm22751	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22752	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22753	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22755	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22756	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22757	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22758	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22759	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22760	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22761	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22762	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22763	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22764	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22765	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22766	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22767	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22768	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22769	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22770	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22771	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22772	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22773	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm22774	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22775	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22776	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22777	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22778	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22779	0	1	1	0	0	0	0	0	0	0	1	0	0
Gm22780	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22781	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22782	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22783	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22784	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22785	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22786	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22787	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22788	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22789	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22790	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22791	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22792	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22793	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22794	1	0	0	1	0	0	0	0	0	1	1	0	1
Gm22795	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22796	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22797	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22798	1	2	0	3	3	0	1	4	2	0	1	0	0
Gm22800	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22801	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22802	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22803	1	1	0	1	2	0	2	1	1	4	1	1	2
Gm22804	3	10	10	6	7	6	4	3	6	18	10	10	14
Gm22805	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22806	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22807	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22808	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22809	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22810	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22811	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22812	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22813	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22814	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22815	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22816	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22817	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22818	3	1	0	2	4	2	4	4	5	3	3	2	2
Gm22819	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm22820	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22821	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22822	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22823	1	3	1	0	1	0	0	2	3	0	0	0	0
Gm22824	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22825	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22826	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22827	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22828	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22829	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22830	2	0	0	0	0	0	0	2	0	0	0	0	1
Gm22831	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22832	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22833	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22834	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22836	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22838	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22839	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22840	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22841	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22842	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22843	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22845	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22846	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22847	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22849	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22850	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22851	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22852	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22853	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22854	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22857	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22858	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22859	0	0	0	2	1	0	2	3	1	0	1	1	1
Gm22860	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22862	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22863	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22864	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm22865	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22866	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22867	0	4	1	1	1	2	2	2	3	0	7	7	2
Gm22868	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2287	7	0	0	11	1	5	10	0	1	14	1	1	2
Gm22870	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22871	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22875	0	0	2	1	1	1	0	0	4	1	4	1	0
Gm22876	0	0	0	0	0	0	0	0	0	2	1	0	0
Gm22877	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22879	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2288	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22880	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22881	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22882	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22883	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22884	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22885	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22886	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22887	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22888	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22889	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22890	0	1	2	1	0	1	1	1	0	4	1	1	5
Gm22891	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22892	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22893	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22894	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22895	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22897	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22899	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22900	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22901	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22902	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22903	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22904	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22906	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm22907	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22908	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22909	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22910	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22911	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22912	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22913	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22914	0	2	0	0	1	0	0	0	0	0	1	0	0
Gm22915	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22916	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22917	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22918	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22920	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22923	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22925	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22926	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22927	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22929	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22932	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22933	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22934	0	1	0	0	1	0	0	0	0	0	0	0	0
Gm22935	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22936	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22937	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22938	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22939	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22940	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22941	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22942	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22943	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm22944	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22945	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22946	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22947	0	8	1	2	6	2	1	3	5	5	4	4	1
Gm22948	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22949	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22950	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22951	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22952	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22953	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22955	0	1	0	0	0	0	0	0	0	0	1	0	0
Gm22956	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22957	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22958	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22959	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22960	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22961	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22962	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22965	0	0	0	0	0	0	0	0	0	0	0	2	0
Gm22966	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22967	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22968	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22969	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22970	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22971	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22972	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22973	25	15	23	57	17	21	20	30	11	36	20	10	10
Gm22974	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22975	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22977	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22978	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22979	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22980	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22981	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22982	0	0	3	2	0	3	1	2	0	0	0	0	1
Gm22983	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22984	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22985	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm22986	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22987	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22988	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22989	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22990	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22991	0	1	0	0	2	1	1	3	5	1	3	2	0
Gm22992	1	0	0	0	0	0	0	0	0	0	1	1	0
Gm22993	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22994	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm22995	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22996	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22997	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22999	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23000	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23002	0	0	0	0	0	0	0	0	0	1	0	0	2
Gm23003	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23005	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23007	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23008	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23010	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23011	0	0	0	0	0	0	0	0	0	0	1	2	1
Gm23012	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23013	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23014	1	0	0	1	0	0	0	0	0	0	0	0	0
Gm23015	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23016	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23017	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23018	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23020	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23021	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23022	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23023	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23024	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23025	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23026	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23027	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23028	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23030	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23031	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23032	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23033	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23034	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23035	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23036	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23037	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23038	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23039	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23040	7	0	1	7	2	4	4	0	8	19	0	6	35
Gm23041	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23042	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23043	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23044	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23045	0	0	0	0	0	0	1	0	0	2	0	0	0
Gm23046	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23047	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23048	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23049	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23050	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23052	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23053	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23054	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23055	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23056	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23057	0	5	1	3	0	1	0	1	4	1	0	0	1
Gm23058	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23059	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23060	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23061	1	0	0	0	1	0	0	0	0	1	0	0	0
Gm23062	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23063	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23064	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23065	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23066	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23067	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23068	0	0	0	3	0	1	0	0	0	4	2	1	2
Gm23069	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23071	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23072	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23075	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23076	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23077	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23078	0	2	1	1	1	1	2	1	1	1	1	1	0
Gm23079	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2308	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23080	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23081	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23082	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23083	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23084	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23085	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23086	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23087	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23089	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2309	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23090	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23092	2	0	0	1	0	0	0	0	0	0	0	0	0
Gm23093	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23094	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23095	0	0	0	0	0	0	0	4	0	1	0	1	0
Gm23096	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23097	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23098	0	0	0	1	0	0	0	0	0	1	0	0	4
Gm23099	0	0	0	0	0	0	1	1	0	0	0	0	0
Gm2310	0	0	0	0	0	2	1	0	0	2	0	0	0
Gm23100	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23101	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23102	0	1	0	0	0	1	0	0	2	3	2	4	4
Gm23103	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm23104	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23105	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23106	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23108	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23109	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23111	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23112	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23113	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23114	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23115	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23116	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23117	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23118	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm23119	99	459	201	167	281	220	138	629	217	213	464	286	197
Gm23120	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23121	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23122	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23123	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23124	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm23125	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23126	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23127	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23128	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm23129	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23130	0	0	0	0	0	0	0	0	0	0	0	0	0
